,circle,rectangle,no_shape,total,truth,accuracy
circle,720,0,0,720,720,100%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,0,0,2043,100%
double circle,0,0,0,0,342,100%
no_shape,0,0,0,0,597141,100%
total,720,0,0,1440,600246,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_pointtemplate
# False negatives: 0.0
# False positives: 0.99879425462328
# True negatives: 0.0
# False positive rate: 1.0
# False negative rate: nan
# rejector with threshold: 3
