,circle,rectangle,no_shape,total,truth,accuracy
circle,712,8,0,720,720,98%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,0,0,2043,100%
double circle,0,0,0,0,342,100%
no_shape,0,0,0,0,597141,100%
total,712,8,0,1440,600246,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: templatedirectional_clusters
# False negatives: 0.011111111111111072
# False positives: 0.9988076517941323
# True negatives: 0.0
# False positive rate: 1.0
# False negative rate: 1.0
# rejector with threshold: 3
