,circle,rectangle,no_shape,total,truth,accuracy
circle,267,0,3,270,270,98%
rectangle,0,918,0,918,920,99%
diamond,0,0,540,540,544,99%
ellipse,642,0,1,643,643,99%
parallelogram,0,0,862,862,865,99%
line,0,0,3030,3030,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,54095,54095,70925,76%
total,909,918,58531,120716,77401,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# rejector threshold: 0.9999999999999999
