,circle,rectangle,no_shape,total,truth,accuracy
circle,199,0,71,270,270,73%
rectangle,0,826,92,918,920,89%
diamond,0,0,540,540,544,99%
ellipse,607,0,36,643,643,94%
parallelogram,0,0,862,862,865,99%
line,0,0,3030,3030,3234,93%
double circle,0,0,0,0,0,-
no_shape,0,0,55956,55956,70925,78%
total,806,826,60587,124438,77401,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Train.txt', './__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_verticesstandard_deviation_to_template_with_vertical_linesstandard_deviation_to_template_with_horizontal_linesdirectional_clusters
# rejector threshold: 0.4
