,circle,rectangle,no_shape,total,truth,accuracy
circle,213,0,0,213,213,100%
rectangle,0,173,10,183,183,94%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,1871,1871,5148,100%
total,213,173,2298,5368,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: rejector_with_threshold
# shape no shape features: closed_shape
# circle rectangle features:
# rejector threshold: 1.1
