,circle,rectangle,no_shape,total,accuracy
circle,98,14,0,112,87%
rectangle,32,346,0,378,91%
diamond,11,189,24,224,10%
ellipse,204,60,0,264,77%
parallelogram,14,326,16,356,95%
line,2,141,1131,1274,88%
double circle,0,0,0,0,-
no_shape,239,6087,18431,24757,74%
total,600,7163,19602,54730,0
# dataset: ['./__datasets__/FC_1.0/no_text/FC_Validation.txt']
# grouper: optimized_grouper
# recognizer: template_matching_recognizer
# stroke_min: 50
# diagonal_to_stroke_length: 6
# upper_bound_angle: 110
# lower_bound_angle: 54
